FID,Canopy,Elev,EVI,EVI_std,NDVI,NDVI_std,NPP,NPP_std,PrecipYear,TRI,TotalPrecip_JuneSep,MeanMonthlyPrecip_JuneSep,NumSettlements,PercWater,DistWater,DistGoodPA,DistSettlementNEW,DistInsidePA,Latitude,LivestockSignPer500m,LivestockPropSegs,DirectCattle_Per500m,HumanSignPer500m,HumanPropSegs,DirectPeople_Per500m
127,-0.521943969,-1.048600094,-0.135208339,-0.16546679,-0.219749359,0.004253846,-0.262729004,0.392302566,-0.741138403,0.351854023,-0.603185637,-0.717854704,-0.626338267,-0.288467081,-0.397038723,-0.868527115,0.091290515,0.949331213,-0.755059652,-0.729324281,-0.734807943,-0.401167651,-0.634418054,-0.748595511,-0.449100415
128,0.255192417,-1.128444722,-0.238618083,1.121484437,0.334665245,0.684346388,0.058030668,0.032169908,-0.740123894,0.738517441,-0.621180248,-0.772949156,0.254802942,-0.263877826,-0.461101651,-0.894888599,-0.072774002,0.596016624,-0.755059652,-0.935702915,-1.031471913,-0.401167651,-0.450461103,-0.444610025,-0.449100415
132,-0.143333213,-1.327682992,-1.155299843,0.260435506,-0.621655073,0.250215438,-0.522775061,0.852017162,-0.709094459,-2.022848013,-0.008261785,0.511923286,-0.038910794,-0.231693009,-0.488882277,-1.176001642,-0.684192724,-0.899134406,-0.755059652,-0.229604541,-0.204408726,1.541414847,-0.264873722,-0.167550992,0.040031657
133,0.607271738,-1.400073828,-2.60830772,1.279658812,-0.985393037,0.607476465,-0.270701505,0.529959414,-0.690131889,-1.329772763,-0.067631758,0.391014645,1.723371623,0.070260264,-0.786477557,-1.311876704,-0.866034494,-1.175505447,-0.755059652,-0.004901313,0.144954172,0.414917164,1.163234703,1.243033536,1.162873704
137,-0.447206153,0.58254697,-0.217270553,0.019628436,-0.732659195,-0.022275578,-0.976864173,-0.928712145,-0.936068395,1.089707844,0.01793445,0.565272665,-0.038910794,-0.294270745,2.133206576,-0.0013315,-0.179596981,-0.57166833,-0.579254718,-0.625547416,-0.544095392,-0.401167651,-0.787035708,-0.982430501,-0.449100415
148,-0.578624763,-0.614036709,-0.434350631,-0.479837587,-0.721614246,-0.765076271,-0.252676572,-1.067849797,-0.590972552,-0.566753804,0.01793445,0.565272665,-0.626338267,-0.293881195,0.748635368,-0.622736929,0.202923587,1.727824034,-0.579254718,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
149,0.197077491,-0.736765649,-0.122875793,-0.19500239,-0.247510156,-0.265232719,0.429246415,-0.289043353,-0.566012914,-0.283750611,0.01793445,0.565272665,-0.626338267,-0.293250384,0.967584423,-0.649387227,0.938822727,1.617649816,-0.579254718,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
150,-0.41927318,-0.88174129,0.115877365,-0.843963372,0.030576158,-0.461457165,0.285237642,0.474537633,-0.559289787,-0.112092936,-0.184535519,0.152936806,-0.626338267,-0.294177983,0.875893445,-0.67510635,2.089252896,1.305308826,-0.579254718,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
151,-0.214518293,-1.006861299,0.009485953,-0.168576027,0.086283553,-0.130327191,-0.052300181,-0.298415342,-0.558415805,0.342285723,-0.17559942,0.171135426,-0.626338267,-0.285643301,-0.264207587,-0.704972122,0.338972208,0.954329503,-0.579254718,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
152,0.035868056,-1.088949384,-0.983330585,0.594079838,-0.249436139,0.13727616,0.221358782,0.573093738,-0.563863091,0.758099247,-0.987315483,-1.481947454,2.310799096,-0.251816661,-0.736359842,-0.733298708,-1.071007964,0.605521876,-0.579254718,-0.785366222,-0.796186696,-0.401167651,-0.119988936,-0.055153819,-0.449100415
156,-0.862126516,-1.264661243,-1.576893178,0.593470353,-1.161646491,0.430109516,-0.574933294,1.921915377,-0.526772487,-1.299058352,-0.567074004,-0.626113714,0.842230415,-0.289834147,-0.123068606,-1.024116253,-0.927797329,-0.842746594,-0.579254718,-0.421323189,-0.251669479,3.219975969,0.639409688,0.861525416,0.88711368
157,0.140820418,-1.346799345,-2.799800822,1.093606234,-0.637387166,1.50500859,-0.170665765,0.474184601,-0.518543005,-1.876540372,-0.432053221,-0.351140043,1.723371623,0.516571649,-0.86075257,-1.159135171,-0.868820156,-1.204987819,-0.579254718,-0.632815333,-0.605017457,-0.119988427,-0.339063054,-0.310154906,0.599988763
160,-0.969164887,0.658521969,-0.538918966,-0.322573128,-0.938616655,-0.615773566,-1.146191679,-1.426422245,-0.742843223,0.314154972,0.01793445,0.565272665,-0.038910794,-0.294270745,0.177269879,0.268490788,-0.593370288,-0.969903296,-0.403449784,-0.469000537,-0.560901479,-0.401167651,-0.55695045,-0.611519828,-0.449100415
163,-0.393784749,0.541249791,-0.028723218,-0.108995964,-0.539518859,0.221136432,-1.236225837,-0.913563947,-0.730348611,0.541774912,0.01793445,0.565272665,-0.33262453,-0.294270745,3.718463336,0.054180962,-0.319658287,0.125332536,-0.403449784,-0.436426261,-0.273330658,-0.401167651,-0.41781904,-0.384852195,-0.449100415
164,-0.583546442,0.387356438,-0.102111209,-0.384844127,-0.834883343,-0.650453688,-1.144995747,-0.913457715,-0.736017782,-0.588194288,0.01793445,0.565272665,-0.038910794,-0.294252179,3.838942418,0.001032263,-0.474763411,0.437756198,-0.403449784,0.522128935,0.519271563,0.049948046,-0.325005162,-0.249038943,-0.449100415
