,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.093040457,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-0.408820075,1.065260561,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1.239242079,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.057640933,-0.408820075,-0.408820075,1.195111731,-0.408820075,-0.408820075,-0.408820075,1.094627879,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1.200985194,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.210985957,1.176062659,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,-0.408820075,-0.408820075,-0.408820075,1.197969091,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.263370903,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4.028502348,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,0.628084374,-0.408820075,-0.408820075,-0.408820075,-0.408820075,0.645863508,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1.120026641,-0.408820075,-0.408820075,-0.408820075,-0.408820075,2.884923099,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.200032741,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.141615589,-0.408820075,-0.408820075,-0.408820075,2.479812849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
